postalCode,City,State,Region,NeighborhoodType,Diversity,Politics,ageTwentyTwoToThirtyFour,ageThirtyFiveToFiftyFour,ageFiftyFiveToSeventyFour,twoByThreeToFourByFiveBed,twoByThreeBed,fourByFiveBed,bestSchool
01001,"Agawam, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,14%,26%,26%,$272k - $373k,"$272,257 ","$372,822 ",
01002,"Amherst, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,21%,15%,16%,$341k - $556k,"$340,739 ","$556,111 ",
01013,"Chicopee, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,19%,25%,19%,$251k - $298k,"$251,316 ","$298,305 ",
01020,"Chicopee, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,26%,27%,$265k - $313k,"$264,859 ","$312,763 ",
01027,"Easthampton, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,17%,29%,28%,$324k - $409k,"$323,688 ","$409,232 ",
01028,"East Longmeadow, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,25%,25%,$314k - $488k,"$313,932 ","$488,046 ",
01030,"Feeding Hills, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,26%,32%,$303k - $404k,"$302,653 ","$403,639 ",
01035,"Hadley, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,18%,22%,31%,$404k - $517k,"$404,363 ","$517,086 ",
01036,"Hampden, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,8%,26%,33%,$344k - $484k,"$343,712 ","$484,124 ",
01038,"Hatfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,12%,23%,37%,$383k - $564k,"$383,484 ","$564,389 ",
01039,"Haydenville, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,19%,18%,47%,$346k - $488k,"$345,772 ","$488,027 ",
01040,"Holyoke, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,21%,24%,19%,$254k - $327k,"$253,677 ","$326,593 ",
01053,"Leeds, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,12%,22%,30%,$344k - $561k,"$343,583 ","$561,390 ",
01056,"Ludlow, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,17%,26%,27%,$283k - $368k,"$283,236 ","$368,126 ",
01060,"Northampton, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,22%,22%,21%,$369k - $709k,"$368,781 ","$709,188 ",
01062,"Florence, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,25%,31%,$337k - $511k,"$337,211 ","$511,030 ",
01073,"Southampton, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,13%,27%,29%,$352k - $496k,"$352,210 ","$496,005 ",
01075,"South Hadley, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,23%,23%,$296k - $432k,"$296,372 ","$432,468 ",
01085,"Westfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,16%,24%,24%,$290k - $411k,"$290,415 ","$411,215 ",
01088,"West Hatfield, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,29%,28%,25%,$394k - $466k,"$393,646 ","$466,056 ",
01089,"West Springfield, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,18%,27%,21%,$270k - $374k,"$270,445 ","$374,444 ",
01095,"Wilbraham, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,12%,25%,28%,$332k - $498k,"$332,301 ","$497,862 ",
01104,"Springfield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,17%,28%,17%,$215k - $243k,"$214,661 ","$243,492 ",
01105,"Springfield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,23%,24%,16%,$145k - $240k,"$145,006 ","$239,812 ",
01106,"Longmeadow, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,10%,26%,25%,$371k - $611k,"$370,546 ","$610,859 ",
01107,"Springfield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,22%,19%,15%,$220k - $272k,"$220,278 ","$272,187 ",
01108,"Springfield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,20%,26%,17%,$228k - $274k,"$228,414 ","$274,495 ",
01109,"Springfield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,18%,23%,15%,$214k - $229k,"$214,039 ","$228,925 ",
01118,"Springfield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,19%,22%,24%,$252k - $298k,"$251,732 ","$297,784 ",
01119,"Springfield, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Somewhat Diverse,Liberal,17%,21%,22%,$235k - $280k,"$234,989 ","$280,198 ",
01128,"Springfield, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,14%,26%,34%,$269k - $322k,"$269,034 ","$322,356 ",
01129,"Springfield, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,20%,26%,27%,$242k - $311k,"$241,757 ","$310,565 ",
01151,"Indian Orchard, MA",Massachusetts,Northeast,Small Lawn Neighborhoods,Diverse,Liberal,21%,22%,20%,$223k - $264k,"$222,559 ","$263,673 ",
01375,"Sunderland, MA",Massachusetts,Northeast,Suburban Yards,Somewhat Diverse,Liberal,34%,22%,18%,$362k - $434k,"$361,807 ","$434,033 ",
01432,"Ayer, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,20%,30%,25%,$415k - $586k,"$414,596 ","$585,538 ",
01450,"Groton, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,9%,30%,25%,$481k - $803k,"$481,293 ","$802,517 ",
01451,"Harvard, MA",Massachusetts,Northeast,Suburban Yards,Not Very Diverse,Liberal,11%,28%,28%,$660k - $996k,"$660,008 ","$995,941 ",Yes
