ZipCode,PropertyTax
01001,1.71%
01002,1.53%
01007,1.53%
01013,1.71%
01020,1.71%
01027,1.53%
01028,1.71%
01030,1.71%
01033,1.53%
01035,1.53%
01036,1.71%
01038,1.53%
01039,1.53%
01040,1.71%
01053,1.53%
01056,1.71%
01060,1.53%
01062,1.53%
01066,1.62%
01073,1.53%
01075,1.53%
01077,1.71%
01085,1.71%
01088,1.53%
01089,1.71%
01093,1.62%
01095,1.71%
01104,1.71%
01105,1.71%
01106,1.71%
01107,1.71%
01108,1.71%
01109,1.71%
01118,1.71%
01119,1.71%
01128,1.71%
01129,1.71%
01151,1.71%
01375,1.62%
01432,1.23%
01450,1.23%
01451,1.49%
01460,1.23%
01463,1.23%
01503,1.49%
01504,1.49%
01505,1.49%
01519,1.49%
01529,1.49%
01532,1.49%
01534,1.49%
01536,1.49%
01545,1.49%
01560,1.49%
01568,1.49%
01581,1.49%
01701,1.23%
01702,1.23%
01719,1.23%
01720,1.23%
01721,1.23%
01730,1.23%
01741,1.23%
01742,1.23%
01745,1.49%
01746,1.23%
01747,1.49%
01748,1.23%
01749,1.23%
01752,1.23%
01754,1.23%
01756,1.49%
01757,1.49%
01760,1.23%
01770,1.23%
01772,1.49%
01773,1.23%
01775,1.23%
01776,1.23%
01778,1.23%
01801,1.23%
01803,1.23%
01810,1.25%
01821,1.23%
01824,1.23%
01826,1.23%
01827,1.23%
01830,1.25%
01832,1.25%
01833,1.25%
01834,1.25%
01835,1.25%
01840,1.25%
01841,1.25%
01843,1.25%
01844,1.25%
01845,1.25%
01850,1.23%
01851,1.23%
01852,1.23%
01854,1.23%
01862,1.23%
01863,1.23%
01864,1.23%
01867,1.23%
01876,1.23%
01879,1.23%
01880,1.23%
01886,1.23%
01887,1.23%
01890,1.23%
01901,1.25%
01902,1.25%
01904,1.25%
01905,1.25%
01906,1.25%
01907,1.25%
01908,1.25%
01915,1.25%
01921,1.25%
01923,1.25%
01929,1.25%
01938,1.25%
01940,1.25%
01944,1.25%
01945,1.25%
01949,1.25%
01960,1.25%
01969,1.25%
01970,1.25%
01982,1.25%
01983,1.25%
01984,1.25%
02019,1.24%
02021,1.24%
02025,1.24%
02026,1.24%
02030,1.24%
02032,1.24%
02035,1.24%
02038,1.24%
02043,1.36%
02045,1.36%
02047,1.36%
02048,1.23%
02050,1.36%
02052,1.24%
02053,1.24%
02054,1.24%
02056,1.24%
02061,1.36%
02062,1.24%
02066,1.36%
02067,1.24%
02071,1.24%
02072,1.24%
02081,1.24%
02090,1.24%
02093,1.24%
02108,0.77%
02109,0.77%
02110,0.77%
02111,0.77%
02113,0.77%
02114,0.77%
02115,0.77%
02116,0.77%
02118,0.77%
02119,0.77%
02120,0.77%
02121,0.77%
02122,0.77%
02124,0.77%
02125,0.77%
02126,0.77%
02127,0.77%
02128,0.77%
02129,0.77%
02130,0.77%
02131,0.77%
02132,0.77%
02134,0.77%
02135,0.77%
02136,0.77%
02138,1.23%
02139,1.23%
02140,1.23%
02141,1.23%
02143,1.23%
02144,1.23%
02145,1.23%
02148,1.23%
02149,1.23%
02150,0.77%
02151,0.77%
02152,0.77%
02155,1.23%
02169,1.24%
02170,1.24%
02171,1.24%
02176,1.23%
02180,1.23%
02184,1.24%
02186,1.24%
02188,1.24%
02189,1.24%
02190,1.24%
02191,1.24%
02210,0.77%
02215,0.77%
02301,1.36%
02302,1.36%
02322,1.24%
02332,1.36%
02333,1.36%
02338,1.36%
